policy,site,lead_scenario,mean_lead_hours,EENS_mean,EENS_std,EENS_min,EENS_max,diesel_mean,stockout_mean,uptime_mean,cost_mean,n,EENS_sem,EENS_ci95_lo,EENS_ci95_hi
b1,site5,monsoon,72,105.6067748,123.55756703425496,0.0,485.89204,605.0233852,0.0,95.197222,1287.1484137714285,100,12.355756703425495,81.38949166128603,129.82405793871396
b1,site5,very_delayed,120,152.714678,158.507340684664,0.0,535.11432,557.915482,0.0,93.166662,1240.0405105714285,100,15.8507340684664,121.64723922580585,183.78211677419415
b1,site5,extreme,336,255.7491776,158.3749247737217,0.0,570.97232,454.8809824,0.0,88.59443900000001,1137.0060109714286,100,15.83749247737217,224.70769234435053,286.79066285564943
b1,site7,no_delay,0,0.0,0.0,0.0,0.0,276.784,0.0,100.0,582.9016857142857,100,0.0,0.0,0.0
b1,site7,fast,12,1.166335,4.151439463787217,0.0,22.8825,275.617665,0.0,99.88888800000001,581.7353507142857,100,0.41514394637872176,0.3526528650977052,1.9800171349022946
b1,site7,normal,24,5.967967,13.98245057956259,0.0,72.27510000000001,270.816033,0.0,99.483334,576.9337187142858,100,1.398245057956259,3.227406686405732,8.708527313594267
b1,site7,delayed,48,20.990784200000004,31.79830596319102,0.0,159.59817,255.79321579999998,0.0,98.24722100000001,561.9109015142857,100,3.179830596319102,14.758316231214565,27.223252168785443
b1,site7,monsoon,72,34.781182400000006,44.465507552464054,0.0,181.75047,242.00281760000001,0.0,97.111109,548.1205033142857,100,4.446550755246405,26.065942919717052,43.49642188028296
b1,site7,very_delayed,120,51.1781728,57.28929112723852,0.0,209.20927,225.6058272,0.0,95.74166699999999,531.7235129142857,100,5.728929112723852,39.94947173906125,62.406873860938745
b1,site7,extreme,336,83.99031500000001,62.26908143371247,0.0,227.34270000000004,192.793685,0.0,93.075005,498.91137071428574,100,6.226908143371247,71.78557503899236,96.19505496100766
